Blast No.,Date of Blast,Location of Blast,Total Charge,Max Charge Delay,Station,Distance,PPV,Freq,Airblast(dbl),Flyrock,Hole Dia,Hole Depth,No. Of Holes,Avg Burden,Avg Spacing,Avg Stem Length,Avg Charge Hole,Ton Recover,Powder Factor
MAD418201993535,2019-04-17, Pit 1 Road side East (RE) and RL390 TO RL380,800.0,50.0,Mylkal,340.0,1.97,19.0,109.5,10.0,115.0,9.0,16.0,2.5,3.0,3.0,50.0,0.0,0.0
MAD424201945624,2019-04-23, Pit 2 Road side West (RW) and RL370 TO RL360,950.04,69.0,Highway Bridge,250.0,2.92,39.0,112.0,10.0,115.0,12.0,14.0,2.5,3.0,3.0,67.86,0.0,0.0
MAD425201913940,2019-04-24, Pit 2 Road side West (RW) and RL 360 TO RL350,624.8,16.0,HW,350.0,1.46,27.0,112.0,15.0,115.0,4.0,40.0,2.5,3.0,2.0,15.62,0.0,0.0
MAD54201934231,2019-05-03, Pit 1 Road side East (RE) and RL390 TO RL380,525.15,12.0,Mylkal,425.0,1.46,37.0,124.0,15.0,115.0,3.5,45.0,2.2,3.0,2.0,11.67,0.0,0.0
MAD55201993825,2019-05-04, Pit 1 Road side East (RE) and RL 380 to 370,450.0,56.0,Highway bridge,260.0,1.02,17.0,114.0,10.0,115.0,11.0,8.0,2.5,3.0,3.0,56.25,0.0,0.0
MAD511201945008,2019-05-10, Pit 2 Road side West (RW) and RL 370 TO RL 380,949.92,40.0,Highway Bridge,325.0,2.98,34.0,121.0,10.0,115.0,7.0,24.0,2.5,3.0,2.5,39.58,0.0,0.0
MAD515201981623,2019-05-14, Pit 1 Road side East (RE) and RL390 TO RL380,600.0,60.0,Highway Bridge,200.0,1.78,26.0,112.0,10.0,115.0,11.5,10.0,2.5,3.0,3.0,60.0,0.0,0.0
MAD517201955442,2019-05-17, Pit 1 Road side East (RE) and RL385,900.18,50.0,Highway Bridge,210.0,1.84,28.0,114.0,10.0,115.0,9.0,18.0,2.5,3.0,3.0,50.01,0.0,0.0
MAD519201950837,2019-05-18, Pit 2 Road side West (RW) and RL 360 TO RL350,505.4,12.0,Highway Bridge,350.0,1.02,17.0,116.9,15.0,115.0,3.5,38.0,2.2,3.0,2.0,13.3,0.0,0.0
MAD525201934958,2019-05-24, Pit 2 Road side West (RW) and RL340 TO RL330,424.76,12.0,Highway Bridge,360.0,1.71,47.0,125.0,25.0,115.0,3.5,37.0,2.2,3.0,2.0,11.48,0.0,0.0
MAD525201954734,2019-05-25, Pit 2 Road side West (RW) and RL 350 TO RL340,249.9,8.33,NH,350.0,1.08,37.0,100.0,0.0,115.0,4.0,30.0,2.5,3.0,2.5,8.33,2300.0,9.2
MAD525201961152,2019-05-25, Pit 1 Road side East (RE) and RL 380 TO RL 368,999.9,55.55,Mailkal,300.0,9.4,23.0,110.0,0.0,115.0,9.5,18.0,2.5,3.0,2.5,55.55,3400.0,3.4
